MW,LogP_calc,TPSA,HBD,HBA,RotBonds,AroRings,RingCount,fCSP3,LabuteASA,BertzCT,Chi0v,Chi1v,Kappa1,Kappa2,PEOE_VSA1,SMR_VSA1,SlogP_VSA1
340.85800000000006,3.5489000000000024,24.3,0.0,3.0,3.0,3.0,4.0,0.3157894736842105,146.81569684599114,832.1990024152012,14.577083860477263,8.715603988676701,15.485517751479291,6.457627446637655,9.467009378641833,0.0,4.899909730850478
494.59100000000024,2.9901000000000018,122.24,2.0,7.0,9.0,2.0,3.0,0.36363636363636365,196.67003749888687,1151.428500131297,20.163285685639845,12.758860986874598,24.71712290346454,10.344647603565656,19.897041906447136,32.58712465491338,19.09573050290266
321.82900000000006,3.6739000000000024,29.54,0.0,4.0,3.0,2.0,3.0,0.3125,132.6508493554586,655.2314628845672,13.285120694733981,8.077392716598691,14.571987385583622,6.178250993598703,4.736862953800049,9.53140013787187,0.0
419.89000000000016,1.9236999999999997,105.66,4.0,5.0,5.0,3.0,4.0,0.2631578947368421,169.0929229811417,1015.4097516034941,16.256898154923523,9.925507227393455,18.94947098714882,7.5558011433169,25.413731645485427,19.802129157825053,10.216698334856808
381.48000000000013,2.0069,99.81,2.0,4.0,6.0,2.0,2.0,0.42857142857142855,165.2903844040535,902.2502557142994,17.03645254493845,9.171258484882612,21.163376680549497,8.698846597230768,10.633577208012662,9.589074368143644,10.633577208012662
303.40500000000003,3.161800000000002,23.47,1.0,2.0,1.0,2.0,5.0,0.3333333333333333,137.31460686233066,732.906191727447,13.203463788828914,8.363066009485182,14.508349123611596,5.847673661545488,5.106527394840706,5.106527394840706,0.0
505.5930000000003,2.975900000000001,134.27,3.0,7.0,11.0,2.0,3.0,0.4166666666666667,204.82667388592293,1161.7028727200109,20.689617669804814,12.833671530722649,26.297471559214006,11.89495049082675,24.796951637297614,32.58712465491338,24.412519106908995
502.3980000000002,4.785720000000003,100.55000000000001,3.0,5.0,10.0,3.0,3.0,0.24,207.62185643051424,1166.322392518534,20.28178193590277,11.374534466833431,25.335182194097804,11.720512279553773,20.476967556653413,19.432464716784395,15.37044016181271
312.3210000000001,3.485800000000003,57.9,0.0,5.0,4.0,3.0,3.0,0.16666666666666666,132.57196281305946,893.6692750065782,13.082693336646697,6.995810735966747,14.965359341015319,6.042175350040524,18.627739798453494,18.627739798453494,19.63937925330069
234.305,3.125400000000001,46.010000000000005,1.0,5.0,1.0,3.0,3.0,0.0,93.6844181122082,600.9530305765103,9.177881875231183,6.120269689117469,8.816814597277919,3.287012311347902,5.106527394840706,5.106527394840706,0.0
397.49600000000027,2.6906000000000008,66.84,1.0,5.0,3.0,2.0,5.0,0.36363636363636365,165.41849258802074,1010.9467034457492,16.57560326242247,11.26911520955939,19.00679023622427,7.247684529384336,9.843390348640755,18.26118733296969,4.736862953800049
352.37700000000007,3.1390200000000013,115.2,3.0,7.0,5.0,3.0,3.0,0.23529411764705882,149.08434746842417,957.884489890828,14.50078379645715,7.917445052938258,17.28845889863739,7.144363020032581,10.633577208012662,4.39041504767482,10.633577208012662
